state,population,year
Sabah,2719.1,2002
Sabah,2774,2003
Sabah,2833.4,2004
Sabah,2897,2005
Sabah,2962.9,2006
Sabah,3032.3,2007
Sabah,3105.1,2008
Sabah,3181.1,2009
Sabah,3260,2010
Sabah,3345.5,2011
Sabah,3432.7,2012
Sabah,3611.5,2013
Sabah,3669.9,2014
Sabah,3720.5,2015
Sabah,3802.8,2016
Sabah,3855.9,2017
Sabah,3898.4,2018
Sabah,3904.4,2019
Sabah,3418.8,2020
Sabah,3412.6,2021
Sabah,3414.9,2022
Sabah,3596.7,2023
Sabah,3742.2,2024
Sarawak,1037,1970
Sarawak,1065.2,1971
Sarawak,1094.3,1972
Sarawak,1124.1,1973
Sarawak,1154.7,1974
Sarawak,1186.2,1975
Sarawak,1217.5,1976
Sarawak,1249.6,1977
Sarawak,1282.5,1978
Sarawak,1316.4,1979
Sarawak,1351.1,1980
Sarawak,1380.2,1981
Sarawak,1410.4,1982
Sarawak,1440.6,1983
Sarawak,1471.4,1984
Sarawak,1503.9,1985
Sarawak,1539.5,1986
Sarawak,1576,1987
Sarawak,1614.6,1988
Sarawak,1652.5,1989
Sarawak,1687.8,1990
Sarawak,1723.8,1991
Sarawak,1758.4,1992
Sarawak,1795.2,1993
Sarawak,1831.9,1994
Sarawak,1868.1,1995
Sarawak,1904.5,1996
Sarawak,1942.4,1997
Sarawak,1982.1,1998
Sarawak,2024.5,1999
Sarawak,2071.5,2000
Sarawak,2115.6,2001
Sarawak,2158.3,2002
Sarawak,2199,2003
Sarawak,2240.4,2004
Sarawak,2282.4,2005
Sarawak,2324.9,2006
Sarawak,2366.1,2007
Sarawak,2408.4,2008
Sarawak,2450.8,2009
Sarawak,2487.1,2010
Sarawak,2527.9,2011
Sarawak,2569.7,2012
Sarawak,2642.5,2013
Sarawak,2664,2014
Sarawak,2701.5,2015
Sarawak,2738.7,2016
Sarawak,2766.3,2017
Sarawak,2791.7,2018
Sarawak,2806,2019
Sarawak,2453.7,2020
Sarawak,2465.6,2021
Sarawak,2473.5,2022
Sarawak,2502.3,2023
Sarawak,2518.1,2024
Selangor,1696.4,1970
Selangor,1770.9,1971
Selangor,1846.7,1972
Selangor,1922.4,1973
Selangor,1997.9,1974
Selangor,2075.3,1975
Selangor,2154.3,1976
Selangor,2237.7,1977
Selangor,2320.9,1978
Selangor,2407.3,1979
Selangor,1524.1,1980
Selangor,1594.6,1981
Selangor,1668.3,1982
Selangor,1743.8,1983
Selangor,1822,1984
Selangor,1906.1,1985
Selangor,1992.6,1986
Selangor,2079.7,1987
Selangor,2166.9,1988
Selangor,2254.9,1989
Selangor,2345.4,1990
Selangor,2431.2,1991
Selangor,2605.6,1992
Selangor,2788.7,1993
Selangor,2978.5,1994
Selangor,3173.2,1995
Selangor,3371.1,1996
Selangor,3571.9,1997
Selangor,3777.5,1998
Selangor,3981.9,1999
Selangor,4188.9,2000
Selangor,4317.5,2001
Selangor,4446.3,2002
Selangor,4577.3,2003
Selangor,4712.8,2004
Selangor,4849.6,2005
Selangor,4986.2,2006
Selangor,5127.1,2007
Selangor,5268.5,2008
Selangor,5417.8,2009
Selangor,5502.1,2010
Selangor,5600.3,2011
Selangor,5702.4,2012
Selangor,5904.7,2013
Selangor,6051.3,2014
Selangor,6178,2015
Selangor,6291.5,2016
Selangor,6380.7,2017
Selangor,6475,2018
Selangor,6506.1,2019
Selangor,6994.4,2020
Selangor,7014.7,2021
Selangor,7050.3,2022
Selangor,7209.7,2023
Selangor,7363.4,2024
Terengganu,418.8,1970
Terengganu,429,1971
Terengganu,439.5,1972
Terengganu,451,1973
Terengganu,462,1974
Terengganu,474.9,1975
Terengganu,486.9,1976
Terengganu,500.9,1977
Terengganu,513.4,1978
Terengganu,527,1979
Terengganu,541.7,1980
Terengganu,560.8,1981
Terengganu,581.4,1982
Terengganu,602.9,1983
Terengganu,625.8,1984
Terengganu,651.6,1985
Terengganu,678.3,1986
Terengganu,704.3,1987
Terengganu,730.9,1988
Terengganu,757.3,1989
Terengganu,784.6,1990
Terengganu,810.7,1991
Terengganu,823.8,1992
Terengganu,836.5,1993
Terengganu,848.6,1994
Terengganu,860,1995
Terengganu,870.7,1996
Terengganu,880.4,1997
Terengganu,889.6,1998
Terengganu,896.6,1999
Terengganu,902.6,2000
Terengganu,920,2001
Terengganu,936.6,2002
Terengganu,951.4,2003
Terengganu,966.6,2004
Terengganu,981.4,2005
Terengganu,995.9,2006
Terengganu,1010.4,2007
Terengganu,1025.2,2008
Terengganu,1040.7,2009
Terengganu,1055.4,2010
Terengganu,1079,2011
Terengganu,1094.1,2012
Terengganu,1113.4,2013
Terengganu,1140.4,2014
Terengganu,1161,2015
Terengganu,1183.4,2016
Terengganu,1208,2017
Terengganu,1228.3,2018
Terengganu,1244.5,2019
Terengganu,1149.4,2020
Terengganu,1170.7,2021
Terengganu,1186.6,2022
Terengganu,1210,2023
Terengganu,1232.1,2024
Kuala Lumpur,982.9,1980
Kuala Lumpur,1006.1,1981
Kuala Lumpur,1028.5,1982
Kuala Lumpur,1050.7,1983
 Kuala Lumpur,1072.2,1984
 Kuala Lumpur,1095.9,1985
 Kuala Lumpur,1120.5,1986
 Kuala Lumpur,1144.9,1987
 Kuala Lumpur,1169.6,1988
 Kuala Lumpur,1194.1,1989
 Kuala Lumpur,1217.8,1990
 Kuala Lumpur,1262.1,1991
 Kuala Lumpur,1281.5,1992
 Kuala Lumpur,1298.7,1993
 Kuala Lumpur,1314.4,1994
 Kuala Lumpur,1328.9,1995
 Kuala Lumpur,1342.5,1996
 Kuala Lumpur,1356.4,1997
 Kuala Lumpur,1373,1998
 Kuala Lumpur,1394,1999
 Kuala Lumpur,1416,2000
 Kuala Lumpur,1446.2,2001
 Kuala Lumpur,1474.1,2002
 Kuala Lumpur,1500.5,2003
 Kuala Lumpur,1526.4,2004
 Kuala Lumpur,1551.8,2005
 Kuala Lumpur,1577.5,2006
 Kuala Lumpur,1603.3,2007
 Kuala Lumpur,1628.9,2008
 Kuala Lumpur,1652.8,2009
 Kuala Lumpur,1674.8,2010
 Kuala Lumpur,1693,2011
 Kuala Lumpur,1702.1,2012
 Kuala Lumpur,1723.4,2013
 Kuala Lumpur,1737.4,2014
 Kuala Lumpur,1780.4,2015
 Kuala Lumpur,1789.7,2016
 Kuala Lumpur,1793.2,2017
 Kuala Lumpur,1790,2018
 Kuala Lumpur,1782.5,2019
 Kuala Lumpur,1982.1,2020
 Kuala Lumpur,1964,2021
 Kuala Lumpur,1961.2,2022
 Kuala Lumpur,2005.7,2023
 Kuala Lumpur,2067.5,2024
Labuan,52.9,1991
Labuan,55.4,1992
Labuan,57.9,1993
Labuan,60.3,1994
Labuan,62.7,1995
Labuan,65.1,1996
Labuan,67.7,1997
Labuan,70.5,1998
Labuan,73.3,1999
Labuan,76.1,2000
Labuan,77,2001
Labuan,77.8,2002
Labuan,78.7,2003
Labuan,79.7,2004
Labuan,80.8,2005
Labuan,82,2006
Labuan,83.2,2007
Labuan,84.6,2008
Labuan,86.3,2009
Labuan,88.2,2010
Labuan,89.4,2011
Labuan,90.5,2012
Labuan,91.4,2013
Labuan,93.8,2014
Labuan,95.1,2015
Labuan,96.8,2016
Labuan,97.6,2017
Labuan,99,2018
Labuan,99.3,2019
Labuan,95.1,2020
Labuan,96,2021
Labuan,96.9,2022
Labuan,99,2023
Labuan,100.8,2024
Putrajaya,73.4,2010
Putrajaya,77.5,2011
Putrajaya,78.3,2012
Putrajaya,79.7,2013
Putrajaya,80.9,2014
Putrajaya,83,2015
Putrajaya,84.4,2016
Putrajaya,87.5,2017
Putrajaya,97.2,2018
Putrajaya,103.7,2019
Putrajaya,109.2,2020
Putrajaya,115.2,2021
Putrajaya,117,2022
Putrajaya,118.8,2023
Putrajaya,120.3,2024
